"","isolate","species","ef","cmd","its","tub"
"1",NA,"L. pseudotheobromae","EF622057","MF409986","NR_111264","KT247486"
"2","CPC 21520","M. phaseolina","KF952143","KF951979","KF951781","KF952223"
"3","CPC 21521","M. phaseolina","KF952144","KF951980","KF951782","KF952224"
"4","CPC 21532","M. phaseolina","KF952145","KF951981","KF951783","KF952225"
"5","CPC 21403","M. pseudophaseolina","KF952152","KF951985","KF951790","KF952232"
"6","CPC 21402","M. pseudophaseolina","KF952151","KF951984","KF951789","KF952231"
"7","Fru-SWA","M. phaseolina","MK447828","MK447797","MK447859","MK447891"
"8","Fru-Trea","M. phaseolina","MK447829","MK447798","MK447860","MK447892"
"9","Fru-For","M. phaseolina","MK447830","MK447799","MK447861","MK447893"
"10","Fru-Mac","M. phaseolina","MK447831","MK447800","MK447862","MK447894"
"11","Fru-Fes","M. phaseolina","MK447832","MK447801","MK447863","MK447895"
"12","Gi-ACA885","M. phaseolina","MK447833","MK447802","MK447864","MK447896"
"13","Gi-P65A25","M. phaseolina","MK447834","MK447803","MK447865","MK447897"
"14","Gi-A963","M. phaseolina","MK447835","MK447804","MK447866","MK447898"
"15","Gi-AG4","M. phaseolina","MK447836","MK447805","MK447867","MK447899"
"16","Gi-PAN1031","M. phaseolina","MK447837","MK447806","MK447868","MK447900"
"17","Por-Lea","M. phaseolina","MK447838","MK447807","MK447869","MK447901"
"18","Fru-Ely","M. phaseolina","MK447839","MK447808","MK447870","MK447902"
"19","Soj-Bal","M. phaseolina","MK447840","MK447809","MK447871","MK447903"
"20","Ar-SB","M. phaseolina","MK447841","MK447810","MK447872","MK447904"
"21","Fru-Paj","M. phaseolina","MK447842","MK447811","MK447873","MK447905"
"22","Fru-CR","M. phaseolina","MK447843","MK447812","MK447874","MK447906"
"23","Fru-Car","M. phaseolina","MK447844","MK447813","MK447875","MK447907"
"24","Fru-Sab","M. phaseolina","MK447845","MK447814","MK447876","MK447908"
"25","Fru-Alb","M. phaseolina","MK447846","MK447815","MK447877","MK447909"
"26","Fru-Cam","M. phaseolina","MK447847","MK447816","MK447878","MK447910"
"27","Fru-Erli","M. phaseolina","MK447848","MK447817","MK447879","MK447911"
"28","TOR-102","M. phaseolina","MK447849","MK447818","MK447880","MK447912"
"29","TOR-840","M. phaseolina","MK447850","MK447819","MK447881","MK447913"
"30","TOR-855","M. phaseolina","MK447851","MK447820","MK447882","MK447914"
"31","TOR-860","M. phaseolina","MK447852","MK447821","MK447883","MK447915"
"32","TOR-861","M. phaseolina","MK447853","MK447822","MK447884","MK447916"
"33","TOR-862","M. phaseolina",NA,NA,"MK447885","MK447917"
"34","TOR-876","M. phaseolina","MK447855","MK447824","MK447887","MK447919"
"35","TOR-888","M. phaseolina","MK447856","MK447825","MK447888","MK447920"
"36","TOR-854","M. phaseolina","MK447857","MK447826","MK447889","MK447921"
"37","TOR-878","M. phaseolina","MK447858","MK447827","MK447890","MK447922"
"38","TOR-872","M. phaseolina","MK447854","MK447823","MK447886","MK447918"
